,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
63,AX,AX,2009-12-01,18.8,0.312762628199,27.5,,572.0,2.80557190504,106.0,20388.0
64,AX,AX,2009-12-01,18.8,0.314437957375,18.5,0.0,0.0,0.0,106.0,20388.0
65,AX,AX,2009-12-01,22.8,0.0,12.5,0.0,0.0,0.0,106.0,20388.0
66,AX,AX,2010-01-01,18.4,0.0,32.5,0.0,0.0,0.0,92.0,13726.0
67,AX,AX,2010-01-01,23.2,0.359365263915,30.5,0.0,0.0,0.0,92.0,13726.0
68,AX,AX,2010-01-01,18.8,0.308601107696,27.5,,314.0,2.28762931663,92.0,13726.0
69,AX,AX,2010-01-01,24.4,0.365391111702,19.5,,136.0,0.990820340959,92.0,13726.0
70,AX,AX,2010-01-01,18.4,0.296104436221,17.5,,93.0,0.677546262567,92.0,13726.0
71,AX,AX,2010-01-01,23.2,0.439357101023,13.5,,168.0,1.22395453883,92.0,13726.0
72,AX,AX,2010-02-01,18.8,0.286252858323,28.5,,437.0,3.78486055777,77.0,11546.0
73,AX,AX,2010-02-01,18.4,0.291643463981,17.5,,75.0,0.649575610601,77.0,11546.0
74,AX,AX,2010-02-01,22.8,0.0,12.5,0.0,0.0,0.0,77.0,11546.0
75,AX,AX,2010-03-01,18.4,0.304775432428,34.5,0.0,0.0,0.0,92.0,10100.0
76,AX,AX,2010-03-01,18.8,0.281161215633,28.5,,365.0,3.61386138614,92.0,10100.0
77,AX,AX,2010-03-01,23.2,0.392265485874,27.5,0.0,0.0,0.0,92.0,10100.0
78,AX,AX,2010-03-01,18.4,0.254152382172,19.5,0.0,0.0,0.0,92.0,10100.0
79,AX,AX,2010-03-01,18.4,0.255652496172,17.5,,47.0,0.465346534653,92.0,10100.0
80,AX,AX,2010-03-01,22.8,0.432494195038,13.5,,63.0,0.623762376238,92.0,10100.0
81,AX,AX,2010-11-01,23.6,0.0,34.5,0.0,0.0,0.0,51.0,4824.0
82,AX,AX,2010-11-01,18.4,0.333062094168,33.5,0.0,0.0,0.0,51.0,4824.0
83,AX,AX,2010-11-01,18.8,0.20701374277,26.5,,277.0,5.74212271973,51.0,4824.0
84,AX,AX,2010-11-01,18.8,0.231513396196,22.5,0.0,0.0,0.0,51.0,4824.0
85,AX,AX,2010-11-01,18.4,0.282688021608,20.5,0.0,0.0,0.0,51.0,4824.0
86,AX,AX,2010-11-01,18.4,0.23513605807,18.5,,58.0,1.20232172471,51.0,4824.0
87,AX,AX,2010-11-01,18.4,0.235195620328,15.5,0.0,0.0,0.0,51.0,4824.0
88,AX,AX,2010-11-01,22.8,0.362063696349,14.5,,52.0,1.07794361526,51.0,4824.0
89,AX,AX,2010-11-01,22.8,0.361166951577,12.5,0.0,0.0,0.0,51.0,4824.0
90,AX,AX,2010-12-01,18.4,0.313706982708,33.5,0.0,0.0,0.0,115.0,24612.0
91,AX,AX,2010-12-01,18.4,0.288303056125,28.5,,536.0,2.17779944742,115.0,24612.0
92,AX,AX,2010-12-01,18.4,0.282988946896,17.5,,322.0,1.30830489192,115.0,24612.0
93,AX,AX,2010-12-01,22.8,0.0,14.5,,0.0,0.0,115.0,24612.0
94,AX,AX,2011-01-01,23.6,0.0,29.5,,0.0,0.0,81.0,10742.0
95,AX,AX,2011-01-01,18.8,0.308838824608,28.5,,435.0,4.04952522808,81.0,10742.0
96,AX,AX,2011-01-01,18.4,0.287517032718,22.5,0.0,0.0,0.0,81.0,10742.0
97,AX,AX,2011-01-01,18.4,0.203480057457,17.5,,96.0,0.893688326196,81.0,10742.0
98,AX,AX,2011-01-01,23.2,0.372435701862,13.5,,147.0,1.36846024949,81.0,10742.0
99,AX,AX,2011-02-01,23.2,0.41138869484,30.5,0.0,0.0,0.0,78.0,11931.0
100,AX,AX,2011-02-01,18.4,0.285073787343,29.5,,248.0,2.07861872433,78.0,11931.0
101,AX,AX,2011-02-01,18.4,0.229261944028,17.5,,189.0,1.58410862459,78.0,11931.0
102,AX,AX,2011-02-01,23.2,0.384646478208,14.5,,226.0,1.89422512782,78.0,11931.0
103,AX,AX,2011-03-01,18.4,0.309506540021,32.5,0.0,0.0,0.0,64.0,7515.0
104,AX,AX,2011-03-01,22.8,0.0,30.5,,0.0,0.0,64.0,7515.0
105,AX,AX,2011-03-01,18.4,0.311245889324,29.5,,133.0,1.76979374584,64.0,7515.0
106,AX,AX,2011-03-01,22.8,0.0,28.5,0.0,0.0,0.0,64.0,7515.0
107,AX,AX,2011-03-01,18.0,0.276639656762,17.5,,81.0,1.07784431138,64.0,7515.0
108,AX,AX,2011-03-01,22.8,0.303394319159,13.5,,133.0,1.76979374584,64.0,7515.0
109,AX,AX,2011-11-01,18.4,0.306836638419,34.5,0.0,0.0,0.0,62.0,6614.0
110,AX,AX,2011-11-01,22.8,0.392422301716,33.5,0.0,0.0,0.0,62.0,6614.0
111,AX,AX,2011-11-01,22.8,0.392282320104,31.5,0.0,0.0,0.0,62.0,6614.0
112,AX,AX,2011-11-01,18.0,0.0,28.5,0.0,0.0,0.0,62.0,6614.0
113,AX,AX,2011-11-01,18.4,0.284858273408,18.5,,130.0,1.96552766858,62.0,6614.0
114,AX,AX,2011-11-01,22.8,0.346139790992,14.5,,173.0,2.61566374357,62.0,6614.0
115,AX,AX,2011-12-01,18.8,0.0,27.5,,0.0,0.0,114.0,23873.0
116,AX,AX,2011-12-01,18.4,0.305455826298,17.5,,301.0,1.26083860428,114.0,23873.0
117,AX,AX,2011-12-01,22.8,0.417979105298,14.5,,403.0,1.68809952666,114.0,23873.0
118,AX,AX,2012-01-01,23.2,0.434948826007,31.5,0.0,0.0,0.0,86.0,14071.0
119,AX,AX,2012-01-01,18.4,0.283437008335,27.5,0.0,0.0,0.0,86.0,14071.0
120,AX,AX,2012-01-01,18.4,0.286368085356,17.5,0.0,0.0,0.0,86.0,14071.0
121,AX,AX,2012-01-01,22.4,0.0,14.5,,0.0,0.0,86.0,14071.0
122,AX,AX,2012-02-01,22.8,0.415466876235,33.5,,72.0,0.772035170491,77.0,9326.0
123,AX,AX,2012-02-01,22.8,0.390188860143,31.5,0.0,0.0,0.0,77.0,9326.0
124,AX,AX,2012-02-01,18.4,0.28579364567,28.5,,127.0,1.36178425906,77.0,9326.0
125,AX,AX,2012-02-01,18.4,0.286315789104,24.5,0.0,0.0,0.0,77.0,9326.0
126,AX,AX,2012-02-01,18.4,0.257798168193,19.5,0.0,0.0,0.0,77.0,9326.0
127,AX,AX,2012-02-01,18.4,0.259628387972,17.5,0.0,0.0,0.0,77.0,9326.0
128,AX,AX,2012-02-01,22.8,0.366716780004,14.5,0.0,0.0,0.0,77.0,9326.0
