,station,netvec,datevec,freq,ipi,peakcounts,propcounts
81,AX,AX,2010-11-01,23.6,34.5,12.0,0.248756218905
82,AX,AX,2010-11-01,18.4,33.5,20.0,0.414593698176
83,AX,AX,2010-11-01,18.8,26.5,277.0,5.74212271973
84,AX,AX,2010-11-01,18.8,22.5,20.0,0.414593698176
85,AX,AX,2010-11-01,18.4,20.5,41.0,0.84991708126
86,AX,AX,2010-11-01,18.4,18.5,58.0,1.20232172471
87,AX,AX,2010-11-01,18.4,15.5,40.0,0.829187396352
88,AX,AX,2010-11-01,22.8,14.5,52.0,1.07794361526
89,AX,AX,2010-11-01,22.8,12.5,58.0,1.20232172471
90,AX,AX,2010-12-01,18.4,33.5,134.0,0.544449861856
91,AX,AX,2010-12-01,18.4,28.5,536.0,2.17779944742
92,AX,AX,2010-12-01,18.4,17.5,322.0,1.30830489192
93,AX,AX,2010-12-01,22.8,14.5,439.0,1.78368275638
94,AX,AX,2011-01-01,23.6,29.5,55.0,0.512008936883
95,AX,AX,2011-01-01,18.8,28.5,435.0,4.04952522808
96,AX,AX,2011-01-01,18.4,22.5,34.0,0.316514615528
97,AX,AX,2011-01-01,18.4,17.5,96.0,0.893688326196
98,AX,AX,2011-01-01,23.2,13.5,147.0,1.36846024949
99,AX,AX,2011-02-01,23.2,30.5,74.0,0.620233006454
100,AX,AX,2011-02-01,18.4,29.5,248.0,2.07861872433
101,AX,AX,2011-02-01,18.4,17.5,189.0,1.58410862459
102,AX,AX,2011-02-01,23.2,14.5,226.0,1.89422512782
103,AX,AX,2011-03-01,18.4,32.5,41.0,0.545575515635
104,AX,AX,2011-03-01,22.8,30.5,77.0,1.0246174318
105,AX,AX,2011-03-01,18.4,29.5,133.0,1.76979374584
106,AX,AX,2011-03-01,22.8,28.5,68.0,0.904856952761
107,AX,AX,2011-03-01,18.0,17.5,81.0,1.07784431138
108,AX,AX,2011-03-01,22.8,13.5,133.0,1.76979374584
109,AX,AX,2011-11-01,18.4,34.5,42.0,0.635016631388
110,AX,AX,2011-11-01,22.8,33.5,45.0,0.680374962201
111,AX,AX,2011-11-01,22.8,31.5,43.0,0.650136074992
112,AX,AX,2011-11-01,18.0,28.5,22.0,0.332627759298
113,AX,AX,2011-11-01,18.4,18.5,130.0,1.96552766858
114,AX,AX,2011-11-01,22.8,14.5,173.0,2.61566374357
115,AX,AX,2011-12-01,18.8,27.5,488.0,2.04415029531
116,AX,AX,2011-12-01,18.4,17.5,301.0,1.26083860428
117,AX,AX,2011-12-01,22.8,14.5,403.0,1.68809952666
118,AX,AX,2012-01-01,23.2,31.5,67.0,0.476156634212
119,AX,AX,2012-01-01,18.4,27.5,332.0,2.35946272475
120,AX,AX,2012-01-01,18.4,17.5,201.0,1.42846990264
121,AX,AX,2012-01-01,22.4,14.5,233.0,1.65588799659
122,AX,AX,2012-02-01,22.8,33.5,72.0,0.772035170491
123,AX,AX,2012-02-01,22.8,31.5,58.0,0.621917220673
124,AX,AX,2012-02-01,18.4,28.5,127.0,1.36178425906
125,AX,AX,2012-02-01,18.4,24.5,29.0,0.310958610337
126,AX,AX,2012-02-01,18.4,19.5,103.0,1.10443920223
127,AX,AX,2012-02-01,18.4,17.5,111.0,1.19022088784
128,AX,AX,2012-02-01,22.8,14.5,187.0,2.00514690114
129,AX,AX,2012-03-01,23.2,37.5,12.0,0.247167868177
130,AX,AX,2012-03-01,18.4,33.5,32.0,0.659114315139
131,AX,AX,2012-03-01,23.2,33.5,36.0,0.741503604531
132,AX,AX,2012-03-01,23.6,30.5,13.0,0.267765190525
133,AX,AX,2012-03-01,18.4,29.5,95.0,1.95674562307
134,AX,AX,2012-03-01,18.4,18.5,82.0,1.68898043254
135,AX,AX,2012-03-01,21.2,15.5,20.0,0.411946446962
136,AX,AX,2012-03-01,22.8,15.5,92.0,1.89495365602
137,AX,AX,2012-11-01,18.4,33.5,73.0,0.439759036145
