,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq
52,AX,AX,2009-03-01,18.0,0.764331210191,37.5,3.1847133758,14.0,0.230073952342,73.0
53,AX,AX,2009-03-01,18.8,0.467091295117,28.5,1.35881104034,275.0,4.51930977814,73.0
54,AX,AX,2009-03-01,23.2,0.509554140127,27.5,2.67515923567,44.0,0.723089564503,73.0
55,AX,AX,2009-03-01,22.8,0.72186836518,13.5,1.52866242038,33.0,0.542317173377,73.0
56,AX,AX,2009-11-01,23.2,0.636942675159,28.5,2.33545647558,68.0,0.442910180421,82.0
57,AX,AX,2009-11-01,18.8,0.509554140127,27.5,2.54777070064,423.0,2.75516185762,82.0
58,AX,AX,2009-11-01,18.8,0.509554140127,24.5,2.54777070064,394.0,2.56627369244,82.0
59,AX,AX,2009-11-01,18.8,0.467091295117,17.5,4.11889596603,69.0,0.449423565427,82.0
60,AX,AX,2009-11-01,18.4,0.467091295117,15.5,3.09978768577,84.0,0.54712434052,82.0
61,AX,AX,2009-11-01,23.2,0.72186836518,12.5,1.06157112527,143.0,0.931414055885,82.0
62,AX,AX,2009-12-01,23.2,0.636942675159,29.5,2.37791932059,157.0,0.77006082009,106.0
63,AX,AX,2009-12-01,18.8,0.509554140127,27.5,1.95329087049,572.0,2.80557190504,106.0
64,AX,AX,2009-12-01,18.8,0.509554140127,18.5,3.22717622081,110.0,0.539533058662,106.0
65,AX,AX,2009-12-01,22.8,0.72186836518,12.5,1.35881104034,203.0,0.995683735531,106.0
66,AX,AX,2010-01-01,18.4,0.594479830149,32.5,3.35456475584,59.0,0.429841177328,92.0
67,AX,AX,2010-01-01,23.2,0.594479830149,30.5,2.33545647558,112.0,0.815969692554,92.0
68,AX,AX,2010-01-01,18.8,0.509554140127,27.5,1.69851380042,314.0,2.28762931663,92.0
69,AX,AX,2010-01-01,24.4,0.594479830149,19.5,1.86836518047,136.0,0.990820340959,92.0
70,AX,AX,2010-01-01,18.4,0.467091295117,17.5,1.91082802548,93.0,0.677546262567,92.0
71,AX,AX,2010-01-01,23.2,0.72186836518,13.5,1.01910828025,168.0,1.22395453883,92.0
72,AX,AX,2010-02-01,18.8,0.467091295117,28.5,1.6135881104,437.0,3.78486055777,77.0
73,AX,AX,2010-02-01,18.4,0.467091295117,17.5,2.08067940552,75.0,0.649575610601,77.0
74,AX,AX,2010-02-01,22.8,0.764331210191,12.5,1.23142250531,94.0,0.814134765287,77.0
75,AX,AX,2010-03-01,18.4,0.509554140127,34.5,3.43949044586,53.0,0.524752475248,92.0
76,AX,AX,2010-03-01,18.8,0.467091295117,28.5,1.86836518047,365.0,3.61386138614,92.0
77,AX,AX,2010-03-01,23.2,0.636942675159,27.5,3.22717622081,41.0,0.405940594059,92.0
78,AX,AX,2010-03-01,18.4,0.424628450106,19.5,4.11889596603,39.0,0.386138613861,92.0
79,AX,AX,2010-03-01,18.4,0.424628450106,17.5,2.63269639066,47.0,0.465346534653,92.0
80,AX,AX,2010-03-01,22.8,0.72186836518,13.5,1.74097664544,63.0,0.623762376238,92.0
81,AX,AX,2010-11-01,23.6,0.849256900212,34.5,3.991507431,12.0,0.248756218905,51.0
82,AX,AX,2010-11-01,18.4,0.552016985138,33.5,3.09978768577,20.0,0.414593698176,51.0
83,AX,AX,2010-11-01,18.8,0.339702760085,26.5,0.934182590234,277.0,5.74212271973,51.0
84,AX,AX,2010-11-01,18.8,0.382165605096,22.5,4.84076433121,20.0,0.414593698176,51.0
85,AX,AX,2010-11-01,18.4,0.467091295117,20.5,4.54352441614,41.0,0.84991708126,51.0
86,AX,AX,2010-11-01,18.4,0.382165605096,18.5,2.42038216561,58.0,1.20232172471,51.0
87,AX,AX,2010-11-01,18.4,0.382165605096,15.5,2.8025477707,40.0,0.829187396352,51.0
88,AX,AX,2010-11-01,22.8,0.594479830149,14.5,1.69851380042,52.0,1.07794361526,51.0
89,AX,AX,2010-11-01,22.8,0.594479830149,12.5,1.74097664544,58.0,1.20232172471,51.0
90,AX,AX,2010-12-01,18.4,0.509554140127,33.5,3.22717622081,134.0,0.544449861856,115.0
91,AX,AX,2010-12-01,18.4,0.467091295117,28.5,1.69851380042,536.0,2.17779944742,115.0
92,AX,AX,2010-12-01,18.4,0.467091295117,17.5,1.86836518047,322.0,1.30830489192,115.0
93,AX,AX,2010-12-01,22.8,0.67940552017,14.5,1.23142250531,439.0,1.78368275638,115.0
94,AX,AX,2011-01-01,23.6,0.594479830149,29.5,2.42038216561,55.0,0.512008936883,81.0
95,AX,AX,2011-01-01,18.8,0.509554140127,28.5,1.35881104034,435.0,4.04952522808,81.0
96,AX,AX,2011-01-01,18.4,0.467091295117,22.5,4.88322717622,34.0,0.316514615528,81.0
